id,cohort,race,sex,asvab_wt,sci,arith,word,para,number,coding,auto,math,mech,elec,social,weight_custom,pc1_verb,pc2_math,pc3_mech,pc4_admin,pc1_verb_m,pc1_verb_f,pc2_math_m,pc2_math_f,pc3_mech_m,pc3_mech_f,pc4_admin_m,pc4_admin_f,social_m,social_f
3871,79,3,1,412567,1.7778816,2.1534998,1.294849,.62268627,.29664746,.74556869,1.5641972,2.1804321,2.3520515,1.8905406,-.49059266,389331,2.1816499,3.2863829,3.1838872,.45031452,2.1816499,,3.2863829,,3.1838872,,.45031452,,-.49059266,
3872,79,3,2,647689,1.6224663,1.2416235,1.1263181,1.2301887,.36990306,.71484452,-.2136925,1.8865594,.44498327,.66236687,-.79670399,590225,2.3326302,2.2821939,.30144182,.55708325,,2.3326302,,2.2821939,,.30144182,,.55708325,,-.79670399
3873,79,3,1,563388,1.7398973,1.8943998,1.2755666,1.1419274,1.2267518,.73151344,1.510874,2.0988443,1.9913189,2.0496836,.90307808,532595,2.4813709,3.2989428,2.8813217,.98447514,2.4813709,,3.2989428,,2.8813217,,.98447514,,.90307808,
3874,79,3,1,520591,1.5687076,1.9218963,1.1784247,1.3992163,.14453118,1.0079075,1.957016,1.7837814,2.2137012,1.9519968,.8246156,488742,2.4967473,2.7495947,3.3396277,.71146929,2.4967473,,2.7495947,,3.3396277,,.71146929,,.8246156,
3875,79,3,1,466791,.76037514,1.847549,1.1329813,1.5960587,1.4154081,1.4035006,1.4186478,1.5184745,1.9296449,.97126067,-.53818107,443803,1.9594871,2.8524497,2.2081637,1.8131039,1.9594871,,2.8524497,,2.2081637,,1.8131039,,-.53818107,
3876,79,3,2,482705,.024939204,.095031649,.89955336,1.1525201,1.3067976,1.0991811,-1.37187,.053871743,-.80759609,-.6203872,-.71006382,457991,1.1892273,.3541494,-1.8590882,1.6510677,,1.1892273,,.3541494,,-1.8590882,,1.6510677,,-.71006382
3877,79,3,2,547005,.45230144,.49167943,1.0344838,1.3000917,1.3031673,.72125226,-.7854014,.94274956,-.54335392,-1.0192204,1.7118134,501945,1.4229389,1.2586117,-1.4993514,1.2817721,,1.4229389,,1.2586117,,-1.4993514,,1.2817721,,1.7118134
3878,79,3,1,557300,-.081423916,-.41602787,.50008965,-1.2757142,1.3154705,1.0965544,-.46286011,-.087289669,-.078973599,-.50231659,.67100137,532595,-.63460124,-.033064902,-.49074298,1.5667186,-.63460124,,-.033064902,,-.49074298,,1.5667186,,.67100137,
3879,79,3,2,580013,1.2820607,1.6838607,.94898832,.84575927,.54601866,1.1125426,.51227409,1.2601686,1.7783952,1.5045993,.90008754,543586,1.8534266,2.3901718,1.9330316,.97796983,,1.8534266,,2.3901718,,1.9330316,,.97796983,,.90008754
3880,79,3,1,522330,.95841199,1.9686996,.41977221,1.1183125,.5181815,-.42262822,.52302521,1.7622641,1.269204,1.0161109,1.076475,488742,1.4542912,2.9169054,1.3104271,-.30910155,1.4542912,,2.9169054,,1.3104271,,-.30910155,,1.076475,
3881,79,3,1,412567,-.66045064,-.6083445,.17832521,.96017134,.43655705,-.048019476,1.3630075,.69445729,.7842747,.42475379,.29510224,389331,.3337014,.29774308,1.2072837,.34894314,.3337014,,.29774308,,1.2072837,,.34894314,,.29510224,
